'2034', '68f861314638499698c8e66d5aba6451', 'Tulsa'
'2034', '6a7dff2727284e61ae2de12311aa043b', 'Mesa;Fort Worth;Wichita;Lincoln;Miami;New Orleans;Jersey City;Mobile;Shreveport;Honolulu'
'2034', 'b6c28fad12ac4215b051f9d476098112', 'Oakland'
'2034', 'cbd3e05ef69146668c8b29fbb72d69b2', 'Raleigh;Aurora;Oakland;Baton Rouge;Austin;Richmond;Montgomery'
'2034', '445b5267fbc04d99afedfc9b30b8320e', 'Corpus Christi;Yonkers;Lexington-Fayette;Boston;Jersey City;Birmingham;Raleigh;San Antonio;Anaheim'
'2034', 'e255c9f6bd5948a79644a834fff11777', 'Houston;Las Vegas;New York;Saint Petersburg'
'2034', '073ac4f2be054fe4aae520c84e41f4ba', 'Grand Rapids;Kansas City'
'2034', '026b00536def4e1ab11e0135d6e46642', 'Riverside;Newark'
'2034', 'e9028d0a1c3e487e8733b5700bde5393', 'Long Beach;Denver;Riverside;Mobile'
'2034', '0ee2da6a4c6e4394ba3c85b45ed9207c', 'Riverside;Glendale;Plano;Sacramento;Colorado Springs;Bakersfield;Lexington-Fayette;Norfolk;Las Vegas'
'2034', '8e3db9038d53475dadc28c62a5c8f1df', 'Riverside;Virginia Beach;Long Beach;Birmingham'
'2034', 'ed3f1be4234d4b32bd81f0a05e7f932f', 'Milwaukee;Newark;Oakland'
'2034', '756d52fea5c14d05bd9e7bf8e4ee29b4', 'Tacoma;Sacramento;Jacksonville;Seattle;Phoenix;Oklahoma City;Richmond'
'2034', 'f8603f5c93b5411bbf167a6c83a16a83', 'Augusta-Richmond County;Baton Rouge;Madison;San Jose;Miami;Tulsa;Tacoma'
'2034', 'b645db9e1b3d4550bfa58a94f3820729', 'Birmingham;Richmond;Garland;Boston;Stockton;Yonkers;Lubbock;Pittsburgh;Oakland'
'2034', '79efb2cd8bfe4e809f74356a535a826c', 'San Antonio;Yonkers;Saint Louis;Corpus Christi;Birmingham;San Diego;Columbus'
'2034', 'e16c6335576c4558b570161d52d071b5', 'Fort Wayne;Fresno'
'2034', '5645e85724d64342b174b23376048791', 'Spokane;Sacramento;San Antonio;Glendale;Montgomery;Charlotte;Akron;Tulsa'
'2034', '0dc4c3c310b3486e894ee96166576f19', 'Bakersfield;Denver;Chicago;Las Vegas;Hialeah;Tulsa'
'2034', '28db19aad7634352a33adfaba0e5cd5b', 'Stockton;Mesa;Long Beach;Corpus Christi;Oakland;Aurora;Saint Paul'
'2034', '62adc361103f45048ce1a0bfcd3806a3', 'San Diego;Rochester;Lubbock;Philadelphia;Portland;Augusta-Richmond County'
'2034', '1882ac53b92441f8bae0efc0a757b694', 'Phoenix;Hialeah;Newark;Boston;Fresno;Spokane;Fort Wayne;Garland'
'2034', '9e6245736b574249b39ed85e94a68e59', 'Wichita;Shreveport'
'2034', 'bf625968b0614c9b85cb066d5524c123', 'Atlanta;Phoenix;Seattle;Las Vegas;Philadelphia;Yonkers;Plano'
'2034', 'ee8de36e926b4c06a12d414f8704c616', 'Long Beach;Glendale;Raleigh'
'2034', '754b81a4db73436dbf91f53c6ce60ca5', 'Jacksonville;Pittsburgh'
'2034', '78973ad6b1e5404687d175f5d7811022', 'Riverside;Sacramento;Greensboro;New Orleans;Tacoma;Long Beach;Jacksonville'
'2034', 'aac014494fc940c6a8f2f73294e7787a', 'San Jose;Atlanta;Augusta-Richmond County;New Orleans;Wichita;Fremont;Spokane;Birmingham'
'2034', '3f04efabcc374258bf5201863f4c2251', 'Miami;Corpus Christi;Newark;Montgomery;Columbus'
'2034', 'df43459dd4644c259f95125516ca7fcd', 'Spokane;Oakland'
'2034', '1e5b4bfb4d9143148d9a940c210c1baf', 'Saint Paul'
'2034', 'b5db2d27585a4946ab890ade8d1c2d7f', 'Santa Ana;Columbus;Minneapolis;Grand Rapids'
'2034', 'e6ae76ed6be7447094e2452b51c6dab3', 'Anaheim;Des Moines;Aurora;Oakland'
'2034', '7282c4979bad47288ef0ee9538aeda5a', 'Phoenix;Long Beach;Buffalo'
'2034', 'e091bef4048b424cab2ed019cd339f4f', 'Long Beach;San Antonio;Saint Louis;Chesapeake;Stockton;New York;Norfolk;Philadelphia;Minneapolis;Mobile'
'2034', '4a903da941f1426a88535591cd0fc48d', 'Shreveport;Arlington;Boston;Jacksonville;Saint Louis;Anchorage'
'2034', '300f71715f1c48d7b532ef897bbe10dd', 'San Antonio;Tacoma;Dallas;Honolulu;Milwaukee;Anchorage'
'2034', '03f0db7b801b4119a6e269b4f0254207', 'Fort Worth'
'2034', '89bc2ff09f5345669c5f423062a5861c', 'Anaheim;Hialeah;Mesa;Saint Louis;Los Angeles;Fort Worth;Birmingham;Sacramento;Greensboro;Colorado Springs'
'2034', 'd456eaa37c9b41cc8429034a63e63f79', 'Lubbock;Boston;Spokane;Santa Ana;Augusta-Richmond County;Philadelphia;Norfolk;Birmingham;Hialeah;Kansas City'
'2034', '1d347e5867144ca6a8cfe5cd4c06795d', 'Saint Paul'
'2034', '6e43f71c97a341a08a6f065afe330cbc', 'Aurora;Portland;Norfolk;Memphis;Pittsburgh;Anaheim;Denver;Plano'
